#time[sec] output_ch0 output_ch1
2.280000000000000193e-06 1.008809441094728809e+00 2.346068467662160151e-02
2.290000000000000098e-06 1.004669320269442778e+00 2.898084577700315093e-02
2.300000000000000002e-06 1.011569521644919645e+00 3.036088605209854088e-02
2.309999999999999906e-06 1.010189481369824227e+00 2.622076522681237795e-02
2.320000000000000234e-06 1.010189481369824227e+00 2.622076522681237795e-02
2.330000000000000138e-06 1.006049360544537974e+00 2.760080550190776791e-02
2.340000000000000042e-06 1.001909239719251721e+00 2.622076522681237795e-02
2.349999999999999947e-06 1.003289279994347361e+00 2.208064440152621155e-02
2.359999999999999851e-06 1.001909239719251721e+00 1.794052357624004862e-02
2.370000000000000179e-06 1.003289279994347361e+00 1.932056385133543511e-02
2.380000000000000083e-06 1.003289279994347361e+00 2.208064440152621155e-02
2.389999999999999987e-06 1.000529199444156525e+00 2.484072495171699146e-02
2.399999999999999891e-06 1.003289279994347361e+00 2.622076522681237795e-02
2.410000000000000219e-06 1.007429400819633392e+00 2.346068467662160151e-02
2.420000000000000123e-06 1.008809441094728809e+00 2.208064440152621155e-02
2.430000000000000028e-06 1.007429400819633392e+00 2.346068467662160151e-02
2.439999999999999932e-06 1.006049360544537974e+00 2.760080550190776791e-02
2.450000000000000260e-06 1.004669320269442778e+00 2.622076522681237795e-02
2.460000000000000164e-06 1.008809441094728809e+00 2.622076522681237795e-02
2.470000000000000068e-06 1.006049360544537974e+00 2.484072495171699146e-02
2.479999999999999972e-06 1.006049360544537974e+00 2.622076522681237795e-02
2.489999999999999877e-06 1.006049360544537974e+00 2.346068467662160151e-02
2.500000000000000205e-06 1.007429400819633392e+00 2.484072495171699146e-02
2.510000000000000109e-06 1.007429400819633392e+00 2.346068467662160151e-02
2.520000000000000013e-06 1.010189481369824227e+00 2.484072495171699146e-02
2.529999999999999917e-06 1.010189481369824227e+00 2.622076522681237795e-02
2.540000000000000245e-06 1.011569521644919645e+00 2.622076522681237795e-02
2.550000000000000149e-06 1.008809441094728809e+00 2.622076522681237795e-02
2.560000000000000054e-06 1.008809441094728809e+00 2.622076522681237795e-02
2.569999999999999958e-06 1.010189481369824227e+00 2.484072495171699146e-02
2.579999999999999862e-06 1.008809441094728809e+00 2.622076522681237795e-02
2.590000000000000190e-06 1.006049360544537974e+00 2.346068467662160151e-02
2.600000000000000094e-06 1.006049360544537974e+00 2.346068467662160151e-02
2.609999999999999998e-06 1.001909239719251721e+00 2.208064440152621155e-02
2.619999999999999903e-06 1.004669320269442778e+00 1.794052357624004862e-02
2.630000000000000230e-06 1.004669320269442778e+00 1.794052357624004862e-02
2.640000000000000135e-06 1.008809441094728809e+00 2.208064440152621155e-02
2.650000000000000039e-06 1.010189481369824227e+00 2.484072495171699146e-02
2.659999999999999943e-06 1.011569521644919645e+00 2.622076522681237795e-02
2.669999999999999847e-06 1.012949561920014840e+00 2.760080550190776791e-02
2.680000000000000175e-06 1.011569521644919645e+00 2.760080550190776791e-02
2.690000000000000079e-06 1.010189481369824227e+00 2.760080550190776791e-02
2.699999999999999984e-06 1.008809441094728809e+00 2.898084577700315093e-02
2.709999999999999888e-06 1.006049360544537974e+00 2.760080550190776791e-02
