#time[sec] output_ch0 output_ch1
1.060000000000000016e-06 4.843941365584813474e-01 9.246269843139101607e-02
1.069999999999999920e-06 4.954344587592443561e-01 1.048830609072495118e-01
1.080000000000000036e-06 5.050947406849121135e-01 1.104032220076310716e-01
1.089999999999999940e-06 5.161350628856752332e-01 1.200635039332987736e-01
1.100000000000000056e-06 5.313155059117244949e-01 1.338639066842526593e-01
1.109999999999999960e-06 5.423558281124876146e-01 1.338639066842526593e-01
1.120000000000000076e-06 5.437358683875829213e-01 1.393840677846342191e-01
1.129999999999999981e-06 5.547761905883460409e-01 1.573245913608742608e-01
1.140000000000000097e-06 5.685765933392999960e-01 1.642247927363512106e-01
1.150000000000000001e-06 5.782368752649676980e-01 1.752651149371143025e-01
1.160000000000000117e-06 5.892771974657308176e-01 1.863054371378773943e-01
1.170000000000000021e-06 5.975574391163031018e-01 1.945856787884497618e-01
1.179999999999999925e-06 6.099778015921616392e-01 2.083860815394036337e-01
1.190000000000000041e-06 6.141179224174477813e-01 2.166663231899759734e-01
1.199999999999999946e-06 6.320584459936878785e-01 2.194264037401667533e-01
1.210000000000000062e-06 6.361985668189739096e-01 2.318467662160252074e-01
1.219999999999999966e-06 6.499989695699278647e-01 2.428870884167883271e-01
1.230000000000000082e-06 6.568991709454048422e-01 2.539274106175514745e-01
1.239999999999999986e-06 6.706995736963587973e-01 2.663477730934099008e-01
1.250000000000000102e-06 6.734596542465494107e-01 2.746280147439822406e-01
1.260000000000000007e-06 6.872600569975033657e-01 2.829082563945545803e-01
1.270000000000000123e-06 6.927802180978849256e-01 2.898084577700315578e-01
1.280000000000000027e-06 7.079606611239341873e-01 2.994687396956992598e-01
1.289999999999999931e-06 7.176209430496018893e-01 3.132691424466531593e-01
1.300000000000000047e-06 7.286612652503650089e-01 3.243094646474162790e-01
1.309999999999999951e-06 7.369415069009374042e-01 3.312096660228932010e-01
1.320000000000000067e-06 7.493618693767958305e-01 3.353497868481793986e-01
1.329999999999999972e-06 7.604021915775589502e-01 3.491501895991332427e-01
